ticket_id,subject,status,priority,created_date,company_id,contact_id
31,She couple movie successful.,Escalated,Low,2025-05-06,35,40
32,Cup drop before beat interest player.,Escalated,Medium,2025-01-04,26,90
33,Stand writer plan simple consider exist summer.,Closed,Medium,2025-01-19,17,187
34,Store price me attention.,Open,Medium,2025-02-15,22,123
35,Performance check officer actually traditional prove.,Closed,High,2025-06-27,46,183
36,Thank evening minute fund even.,In Progress,Medium,2025-05-31,21,44
37,Rise high he very.,Open,Medium,2025-02-23,26,71
38,School it example.,In Progress,Urgent,2025-08-19,49,75
39,Summer impact far develop firm memory more process.,In Progress,Medium,2025-01-05,27,131
40,Hope environment throw herself safe.,In Progress,High,2025-04-22,36,54
41,Bad their wonder instead special simply heart.,Closed,High,2025-07-04,28,114
42,Must last stage analysis all.,Closed,High,2025-02-04,10,52
43,Whose water list concern interview.,Closed,Low,2025-08-11,28,95
44,Whose add pass price tough inside different.,In Progress,Urgent,2025-05-31,11,74
45,Paper until parent.,In Progress,Low,2025-01-14,24,85
46,Thousand statement check cost.,Closed,High,2025-02-01,16,74
47,Hot morning individual.,In Progress,Medium,2025-05-10,36,89
48,Western crime expect store room test enter.,Open,Urgent,2025-04-30,14,184
49,True person newspaper wish test speak remain.,Open,Low,2025-06-30,5,19
50,Avoid human brother civil prove town together.,Escalated,High,2025-05-27,13,111
51,Reflect medical purpose dog million beautiful out.,Escalated,Low,2025-06-14,26,187
52,Attention produce itself might beyond next.,Closed,Low,2025-03-02,9,137
53,Method very population later.,In Progress,High,2025-07-08,11,45
54,Education old focus man.,Closed,Urgent,2025-05-04,27,154
55,To pattern middle peace local second these.,Closed,Low,2025-01-25,22,178
56,Its consider its always realize down particular.,Open,Low,2025-07-16,45,66
57,Week form attention somebody clearly north.,In Progress,Medium,2025-03-16,16,44
58,How million fall you site maybe these.,Closed,Medium,2025-03-14,48,116
59,What enter campaign.,Closed,Urgent,2025-04-25,4,94
60,List after air third organization network success.,In Progress,Medium,2025-03-10,34,16
61,Street guess her heart tend.,Closed,Urgent,2025-01-27,13,164
62,Computer more no air.,In Progress,Urgent,2025-05-31,41,6
63,Above without travel identify.,Open,Urgent,2025-07-22,1,9
64,Change carry shake newspaper several.,In Progress,Low,2025-01-04,17,22
65,Because seek include mouth.,Escalated,Medium,2025-06-04,15,135
66,Debate term child however recent.,Closed,Low,2025-05-22,21,196
67,Money southern standard glass.,Open,Low,2025-04-08,2,176
68,Hot discussion those kitchen.,In Progress,Low,2025-03-02,12,192
69,Performance beautiful professional strong reality there represent.,In Progress,Low,2025-07-04,18,31
70,Ball expect feeling edge account generation save near.,Closed,Urgent,2025-06-10,49,162
71,His director grow.,Open,Medium,2025-08-06,17,113
72,Soon hour color against usually rest time nice.,In Progress,Low,2025-06-30,8,104
73,Call picture ability yeah catch student general.,Open,High,2025-05-18,23,81
74,Finally care increase.,Open,High,2025-04-05,46,49
75,Government no including fish suggest receive success.,In Progress,Medium,2025-05-23,24,73
76,State will away easy young matter.,Escalated,Urgent,2025-06-16,3,168
77,Drop explain list two.,Open,Medium,2025-04-22,50,199
78,Effort phone collection research.,Open,Medium,2025-07-18,38,74
79,Edge big with need physical.,Escalated,Low,2025-08-29,31,43
80,Hot relationship free Republican clearly American involve newspaper.,Closed,Urgent,2025-03-03,24,25
81,Relationship parent final public modern attack guy response.,Closed,Urgent,2025-07-24,5,26
82,Eye side performance radio dream successful.,Escalated,Urgent,2025-01-21,4,56
83,Present lose energy daughter seem.,In Progress,High,2025-05-26,37,119
84,Year collection ready decision develop building.,In Progress,High,2025-06-17,48,74
85,Heart first safe from mission deep.,Closed,High,2025-05-05,11,141
86,Around admit edge.,Open,Medium,2025-01-30,25,52
87,Method never owner at.,Escalated,Urgent,2025-03-29,5,126
88,Individual than add election nice news reduce.,In Progress,High,2025-08-13,16,36
89,Card wind lawyer ahead rule.,Open,Medium,2025-05-27,17,69
90,Idea window paper eye likely.,Closed,Low,2025-07-29,48,25
91,Feel rather ball movie hair production.,Open,Medium,2025-05-05,45,30
92,Rather him many kid director black remember research.,Closed,Urgent,2025-04-24,20,54
93,Sport move art his style.,Escalated,Medium,2025-01-27,31,3
94,Certainly build though program six up sometimes ever.,In Progress,High,2025-02-16,21,24
95,Order also out ever travel build.,Escalated,Low,2025-06-22,20,114
96,Join area bad well later.,Open,Medium,2025-05-04,31,33
97,Nice statement when like somebody blood generation.,In Progress,High,2025-02-16,15,79
98,Key hospital also charge out forward federal.,In Progress,High,2025-01-17,41,148
99,Public message choose view back world.,Open,Low,2025-02-28,50,174
100,Follow to although argue without government other.,Closed,Urgent,2025-06-28,44,118
